dataset,entropy_type,size_kb,algorithm,run_id,compress_ms,decompress_ms,input_bytes,compressed_bytes,compression_ratio
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,14,0.870000,0.685800,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,15,0.816000,0.634600,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,16,0.965600,0.506500,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,17,0.687100,0.864100,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,18,0.626600,0.494100,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,19,0.657000,0.506400,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,20,0.635200,0.493800,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,21,0.826400,0.557800,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,22,0.698600,0.726100,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,23,0.692700,0.650200,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,24,0.698300,0.646300,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,25,1.226400,0.559300,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,26,1.358000,0.546700,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,27,0.974300,0.263300,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,28,0.560400,0.317800,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,29,0.404200,0.388800,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,30,0.273400,0.277500,1024,3908,0.262027
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,1,0.706400,0.152000,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,2,0.520000,0.185600,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,3,0.473800,0.184700,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,4,0.462700,0.189800,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,5,0.423200,0.141200,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,6,0.572900,0.266800,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,7,0.325400,0.133800,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,8,0.535700,0.194000,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,9,0.706000,0.206800,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,10,0.430800,0.173000,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,11,0.325600,0.114000,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,12,0.352700,0.114300,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,13,0.513800,0.193200,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,14,0.418900,0.138500,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,15,0.430800,0.151600,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,16,0.349000,0.114800,2048,2691,0.761055
DS_HIGH_ENTROPY_2KB.json,HIGH_ENTROPY,2,Huffman,17,0.475300,0.140600,2048,2691,0.761055
