label,n,mean,median,std,var,cv_pct,min,max,entropy_type,size_kb,algorithm
MEDIUM_ENTROPY/2KB/Huffman,30,0.19092333333333336,0.18295,0.0614327761744962,0.0037739859885057474,32.176672752324414,0.1429,0.4282,MEDIUM_ENTROPY,2,Huffman
MEDIUM_ENTROPY/2KB/LZW,30,0.24479,0.22485,0.06556081330626787,0.00429822024137931,26.78247203981693,0.1896,0.4734,MEDIUM_ENTROPY,2,LZW
MEDIUM_ENTROPY/5KB/Huffman,30,0.2711866666666667,0.2736,0.041983960265084934,0.0017626529195402306,15.481572446439696,0.213,0.3612,MEDIUM_ENTROPY,5,Huffman
MEDIUM_ENTROPY/5KB/LZW,30,0.4557733333333333,0.4274,0.17065066744331991,0.029121650298850568,37.442003505394474,0.3664,1.3127,MEDIUM_ENTROPY,5,LZW
MEDIUM_ENTROPY/10KB/Huffman,30,0.4351433333333333,0.44845,0.0936779430975537,0.008775557022988508,21.528065793850388,0.331,0.788,MEDIUM_ENTROPY,10,Huffman
MEDIUM_ENTROPY/10KB/LZW,30,0.8348433333333334,0.7911,0.21260075207206863,0.0451990797816092,25.46594595457854,0.6752,1.7532,MEDIUM_ENTROPY,10,LZW
MEDIUM_ENTROPY/50KB/Huffman,30,1.6099566666666665,1.4905,0.41781053673787993,0.17456564460919533,25.951663506753597,1.2378,3.1321,MEDIUM_ENTROPY,50,Huffman
MEDIUM_ENTROPY/50KB/LZW,30,4.053333333333333,4.14175,0.404850262087903,0.16390373471264374,9.988082123879186,3.2819,4.7778,MEDIUM_ENTROPY,50,LZW
MEDIUM_ENTROPY/100KB/Huffman,30,3.1966433333333333,3.162,0.42741400884157155,0.182682734954023,13.370713097225053,2.4942,4.2485,MEDIUM_ENTROPY,100,Huffman
MEDIUM_ENTROPY/100KB/LZW,30,8.39598,7.8506,2.708639480268455,7.336727834068967,32.26114736181429,6.7928,22.1194,MEDIUM_ENTROPY,100,LZW
MEDIUM_ENTROPY/500KB/Huffman,30,14.314773333333333,13.58825,3.1723505314572003,10.063807894436781,22.161374529557346,11.8228,28.9181,MEDIUM_ENTROPY,500,Huffman
MEDIUM_ENTROPY/500KB/LZW,30,35.16897000000001,34.9041,2.1072410487044015,4.440464837344826,5.9917621946403345,31.6203,40.9859,MEDIUM_ENTROPY,500,LZW
MEDIUM_ENTROPY/1024KB/Huffman,30,32.583416666666665,33.05325,2.8976661710207683,8.39646923867816,8.893070363566647,25.9576,38.0327,MEDIUM_ENTROPY,1024,Huffman
MEDIUM_ENTROPY/1024KB/LZW,30,86.11771333333336,80.2527,16.825930449052965,283.1119354763677,19.538292179130814,72.3802,137.4269,MEDIUM_ENTROPY,1024,LZW
MEDIUM_ENTROPY/5120KB/Huffman,30,138.3744466666667,138.32665,8.380582027509552,70.23415511981612,6.056452061338843,122.6418,156.5328,MEDIUM_ENTROPY,5120,Huffman
MEDIUM_ENTROPY/5120KB/LZW,30,388.36056333333335,380.2857,37.39063396956316,1398.0595086458507,9.627814330228594,348.9748,539.1522,MEDIUM_ENTROPY,5120,LZW
