mean,eps,lower,upper,t_crit,se,n,gamma,entropy_type,size_kb,algorithm,dataset_key
0.6107200000000002,0.05860748763170614,0.5521125123682941,0.6693274876317062,2.045229642132704,0.02865570028145691,30,0.95,HIGH_ENTROPY,1,Huffman,HIGH_1KB
0.8588666666666668,0.09750672390085785,0.7613599427658089,0.9563733905675247,2.045229642132704,0.04767519592527555,30,0.95,HIGH_ENTROPY,1,LZW,HIGH_1KB
0.42793333333333333,0.0437529546655762,0.3841803786677571,0.47168628799890955,2.045229642132704,0.021392685576350212,30,0.95,HIGH_ENTROPY,2,Huffman,HIGH_2KB
0.6236333333333332,0.05801687210064613,0.565616461232687,0.6816502054339793,2.045229642132704,0.028366923158881993,30,0.95,HIGH_ENTROPY,2,LZW,HIGH_2KB
0.8470966666666667,0.07867760860757504,0.7684190580590917,0.9257742752742417,2.045229642132704,0.038468838406592036,30,0.95,HIGH_ENTROPY,5,Huffman,HIGH_5KB
1.6144833333333333,0.2388556129310069,1.3756277204023264,1.8533389462643401,2.045229642132704,0.11678669622739062,30,0.95,HIGH_ENTROPY,5,LZW,HIGH_5KB
0.6475866666666666,0.03791166182094931,0.6096750048457173,0.6854983284876159,2.045229642132704,0.01853662837656517,30,0.95,HIGH_ENTROPY,10,Huffman,HIGH_10KB
1.15685,0.05599260065910289,1.100857399340897,1.2128426006591029,2.045229642132704,0.02737717051700634,30,0.95,HIGH_ENTROPY,10,LZW,HIGH_10KB
2.4268033333333334,0.1855177854997536,2.24128554783358,2.612321118833087,2.045229642132704,0.09070755756615244,30,0.95,HIGH_ENTROPY,50,Huffman,HIGH_50KB
5.27731,0.2431564044206566,5.034153595579343,5.520466404420657,2.045229642132704,0.1188895366131602,30,0.95,HIGH_ENTROPY,50,LZW,HIGH_50KB
4.340046666666667,0.2618620615216062,4.0781846051450605,4.601908728188273,2.045229642132704,0.12803553015618546,30,0.95,HIGH_ENTROPY,100,Huffman,HIGH_100KB
